survey_id,encounter_id,response_date,overall_satisfaction,communication_with_nurses,communication_with_doctors,cleanliness_score,would_recommend
SRV-194908,ENC-13256,2024-01-06,10.0,10.0,10.0,10.0,Yes
SRV-887794,ENC-10468,2024-02-11,7.8,6.2,8.2,9.4,Yes
SRV-214121,ENC-10092,2024-11-07,3.5,4.0,3.5,1.0,Yes
SRV-160195,ENC-14770,2024-08-10,6.7,7.0,6.7,7.8,No
SRV-111246,ENC-10590,2024-06-07,9.1,8.9,8.9,8.5,Yes
SRV-461317,ENC-14950,2024-08-31,8.2,6.9,9.5,10.0,Yes
SRV-346609,ENC-13386,2024-06-13,10.0,8.2,9.2,10.0,Yes
SRV-305239,ENC-12185,2024-01-23,1.5,1.3,4.2,2.0,No
SRV-302569,ENC-14246,2024-12-18,8.8,10.0,9.8,8.2,No
SRV-983141,ENC-12074,2024-11-11,8.2,8.4,9.4,5.1,Yes
SRV-628841,ENC-10661,2024-08-06,8.1,8.5,8.2,10.0,No
SRV-652479,ENC-14290,2024-12-28,6.9,6.9,7.4,7.9,No
SRV-443064,ENC-10520,2024-06-17,5.5,7.1,5.9,6.4,No
SRV-863729,ENC-95557,2024-05-20,8.3,8.0,9.0,10.0,No
SRV-712488,ENC-10512,2024-12-02,7.6,6.1,7.1,4.5,No
SRV-382495,ENC-10959,2024-04-11,5.4,4.4,5.1,4.5,Yes
SRV-566810,ENC-12708,2024-03-07,6.3,6.6,6.9,6.0,No
SRV-164987,ENC-14832,2024-06-02,6.1,6.5,5.7,8.0,No
SRV-403768,ENC-10960,2024-06-05,9.1,6.6,10.0,5.4,Yes
SRV-274593,ENC-12705,2024-07-29,5.0,5.0,5.5,5.5,Yes
SRV-699176,ENC-14946,2024-09-23,5.8,5.0,4.6,6.0,No
SRV-542509,ENC-11120,2024-12-19,10.0,9.2,10.0,9.3,Yes
SRV-305872,ENC-14671,2024-10-29,8.6,8.5,9.9,5.7,No
SRV-152406,ENC-14437,2024-06-06,10.0,10.0,8.2,10.0,Yes
SRV-351954,ENC-14727,2024-06-20,8.9,8.2,9.6,10.0,Yes
SRV-604073,ENC-14867,2024-04-11,8.7,8.9,8.4,5.2,Yes
SRV-434276,ENC-12361,2024-02-26,7.6,6.2,9.2,7.4,Yes
SRV-651406,ENC-14539,2024-02-13,7.0,5.4,6.7,7.2,No
SRV-640464,ENC-13597,2024-06-30,8.9,9.2,8.8,6.9,Yes
SRV-991995,ENC-14018,2024-07-21,8.2,7.9,9.7,9.3,Yes
SRV-331725,ENC-13609,2024-10-19,9.7,10.0,10.0,10.0,No
SRV-422272,ENC-14686,2024-03-18,8.2,8.6,9.1,6.4,No
SRV-563091,ENC-10609,2024-05-08,9.1,10.0,9.0,7.5,No
SRV-515566,ENC-13069,2024-12-02,8.3,7.4,8.0,4.3,Yes
SRV-632072,ENC-13149,2024-11-03,7.0,6.0,7.9,6.4,Yes
SRV-699813,ENC-11605,2024-07-11,9.4,9.2,10.0,8.7,Yes
SRV-861241,ENC-14291,2024-01-22,7.3,6.9,7.5,6.0,No
SRV-946946,ENC-13479,2024-08-25,7.3,6.6,7.2,6.8,Yes
SRV-274085,ENC-10103,2024-04-21,7.2,7.6,10.0,9.6,Yes
SRV-693838,ENC-12644,2024-02-08,7.8,10.0,8.3,9.7,No
SRV-258330,ENC-12377,2024-06-26,7.5,9.3,9.0,4.6,No
SRV-519467,ENC-14523,2024-10-08,9.7,9.0,10.0,10.0,No
SRV-184174,ENC-12027,2024-07-16,8.0,9.1,8.5,7.2,No
SRV-880993,ENC-11699,2024-10-23,6.4,6.6,7.0,5.1,No
SRV-335843,ENC-12992,2024-05-24,6.0,5.9,7.0,6.1,Yes
SRV-108335,ENC-14510,2024-08-31,4.9,6.9,5.2,2.4,No
SRV-775440,ENC-14973,2024-01-17,2.6,2.3,4.3,1.5,No
SRV-372063,ENC-13177,2024-10-30,7.8,8.6,9.2,7.2,No
SRV-581042,ENC-12013,2024-07-29,9.1,8.4,10.0,9.2,Yes
SRV-896751,ENC-13737,2024-12-23,5.9,6.4,5.3,6.1,No
SRV-554066,ENC-13018,2024-02-19,9.6,10.0,10.0,8.9,Yes
SRV-544479,ENC-12087,2024-12-23,6.6,5.2,7.4,7.5,Yes
SRV-193319,ENC-12915,2024-08-16,5.5,3.7,5.8,4.6,No
SRV-164764,ENC-11646,2024-01-05,9.6,9.9,10.0,8.2,Yes
SRV-329085,ENC-10732,2024-10-03,5.3,6.2,4.4,5.0,Yes
SRV-719698,ENC-10883,2024-02-08,9.3,10.0,10.0,9.2,Yes
SRV-677510,ENC-14480,2024-04-25,10.0,10.0,9.6,6.0,Yes
SRV-585818,ENC-13212,2024-01-27,7.7,8.4,8.6,5.4,No
SRV-985978,ENC-13444,2024-10-03,7.2,7.7,8.0,6.7,No
SRV-441961,ENC-12445,2024-09-02,7.1,6.0,9.0,5.6,No
SRV-205059,ENC-11330,2024-02-29,6.4,6.5,7.0,9.1,Yes
